,24h_volume_usd,available_supply,id,last_updated,market_cap_usd,max_supply,name,percent_change_1h,percent_change_24h,percent_change_7d,price_btc,price_usd,rank,symbol,total_supply
23,17378708.3176,100000000,waves,1552527182,270286703,,Waves,-0.29,-3.68,4.47,0.00069211,2.7028670324,24,WAVES,100000000
24,405395.460848,3926940639,crypto-com-chain,1552527187,247793890,,Crypto.com Chain,3.46,14.28,380.04,1.616e-05,0.0631010023,25,CRO,100000000000
25,33032919.5251,240422497,usd-coin,1552527188,243538237,,USD Coin,-0.11,0.08,-0.13,0.00025938,1.0129594357,26,USDC,240874243
26,17277183.9857,118640620828,dogecoin,1552527182,241821347,,Dogecoin,0.73,1.42,2.9,5.2e-07,0.0020382677,27,DOGE,118640620828
27,12542874.4484,1243366787,basic-attention-token,1552527182,235305438,,Basic Attention Token,-0.33,-3.58,8.37,4.846e-05,0.1892486113,28,BAT,1500000000
28,13295906.3791,17413924,bitcoin-gold,1552527183,227569352,21000000.0,Bitcoin Gold,2.44,2.98,3.7,0.0033463,13.068241107,29,BTG,17513924
29,28952952.6914,198508068,trueusd,1552527185,201099628,,TrueUSD,-0.02,0.11,-0.14,0.00025941,1.0130551866,30,TUSD,198508068
30,55199462.3102,140245398,omisego,1552527183,199450201,,OmiseGO,-0.44,-1.92,13.26,0.00036416,1.4221514844,31,OMG,140245398
31,329245341.303,89321136,qtum,1552527182,190933924,,Qtum,-0.42,-1.34,2.52,0.00054736,2.1376119104,32,QTUM,101321136
32,3620357.83796,9460141,decred,1552527181,174528269,21000000.0,Decred,-0.13,0.34,9.6,0.00472406,18.448801396,33,DCR,9460141
33,7076679.0268,350000000,chainlink,1552527182,169543876,,Chainlink,-0.08,-0.2,11.51,0.00012404,0.4844110746,34,LINK,1000000000
34,2383097.76171,11545613640,digibyte,1552527181,164254485,21000000000.0,DigiByte,-0.24,-0.86,23.54,3.64e-06,0.0142265704,35,DGB,11545613640
